"","ResourceID","Subject","Title","Description","Source","SourceURL","Modified","Frequency","Var1","id","Period","Duration","Label1","Value","Unit","Measure","Multiplier"
"1","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","3934f4da-e3ed-43c4-8656-441f49f9c7ca","2020-02-28","P1D","Deceased",0,"Number","COVID-19 cases",0
"2","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","2a4fa96a-27a1-423b-9204-09422b97f798","2020-02-29","P1D","Deceased",0,"Number","COVID-19 cases",0
"3","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","93e22517-42a3-4a48-a6cf-80e1cf355528","2020-03-01","P1D","Deceased",0,"Number","COVID-19 cases",0
"4","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","7e015a63-e186-482c-b8ba-a22257f54789","2020-03-02","P1D","Deceased",0,"Number","COVID-19 cases",0
"5","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","ba41cf0e-5d23-4236-b6cf-a42b42db10c6","2020-03-05","P1D","Deceased",0,"Number","COVID-19 cases",0
"6","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","8366f989-09b3-46a5-97fa-bde0f0a46f4f","2020-03-06","P1D","Deceased",0,"Number","COVID-19 cases",0
"7","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","edd3eb68-a58d-4466-9186-d08408569603","2020-03-03","P1D","Deceased",0,"Number","COVID-19 cases",0
"8","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","d1346c5c-5b38-43d9-b1e7-3a7a7764710b","2020-03-04","P1D","Deceased",0,"Number","COVID-19 cases",0
"9","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","8d573070-c86b-4d8e-bfec-cc80307658fd","2020-03-07","P1D","Deceased",0,"Number","COVID-19 cases",0
"10","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","6fb962e2-2613-495f-91b2-8a580573a503","2020-03-09","P1D","Deceased",0,"Number","COVID-19 cases",0
"11","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","f2feb115-f3e3-4f76-acf3-df514f333ffe","2020-03-08","P1D","Deceased",0,"Number","COVID-19 cases",0
"12","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","35e7bc91-9d88-426f-af3a-0ea1e659ca73","2020-03-13","P1D","Deceased",0,"Number","COVID-19 cases",0
"13","CPCOV2","COVID-19","Number of Cases","COVID-19 cases in New Zealand (cumulative)","Ministry of Health","https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/testing-covid-19","2021-10-06T11:00:00Z","Daily","Case status","e5bd9ae9-8f22-4ad8-a8ab-7727ab8fb25f","2020-03-10","P1D","Deceased",0,"Number","COVID-19 cases",0
